Title,Location,Model ,KM,Fuel Type,CC,Specs,Price
Toyota Land Cruiser 2019 ZX for Sale,Lahore,2019,"46,000",Petrol,4600,Automatic,4.5crore
Toyota Yaris 2021 for Sale,Islamabad,2021,"50,600",Petrol,1000,Automatic,48.7lacs
Honda Vezel 2015 Hybrid X L Package for Sale,Mandi,2015,"160,000",Hybrid,1500,Automatic,53lacs
Toyota Vitz 2014 F 1.0 for Sale,Lahore,2014,"101,000",Petrol,1000,Automatic,28.5lacs
Toyota Corolla 2019 GLi Automatic 1.3 VVTi for Sale,Lahore,2019,"14,750",Petrol,1300,Automatic,49.35lacs
Honda Civic 2021 Oriel 1.8 i-VTEC CVT for Sale,Islamabad,2021,"23,000",Petrol,1800,Automatic,65.5lacs
Honda Civic 2019 Oriel 1.8 i-VTEC CVT for Sale,Karachi,2019,"33,000",Petrol,1800,Automatic,55.5lacs
Ford Mustang 2018 GT for Sale,Islamabad,2018,"26,000",Petrol,4951,Automatic,4crore
Lexus LX Series 2017 LX570 for Sale,Islamabad,2017,"103,000",Petrol,5700,Automatic,6.3crore
Suzuki Cultus 2017 VXL for Sale,Lahore,2017,"75,000",Petrol,1000,Manual,24.75lacs
Toyota Land Cruiser 2013 ZX for Sale,Lahore,2013,"85,000",Petrol,4600,Automatic,3.1crore
Toyota Prius 2020 S for Sale,Multan,2020,"62,000",Hybrid,1800,Automatic,84lacs
Chevrolet Corvette 2021 2LT Coupe for Sale,Islamabad,2021,693,Petrol,6200,Automatic,
Toyota Land Cruiser 2022 ZX Gasoline 3.5L for Sale,Islamabad,2022,"10,000",Petrol,3500,Automatic,7.1crore
Suzuki Alto 2007 VXR for Sale,Karachi,2007,"100,000",Petrol,1000,Manual,7.5lacs
Suzuki Bolan 2014 VX Euro II for Sale,Lahore,2014,"95,000",Petrol,800,Manual,11.5lacs
Toyota Corolla 2023 Altis Grande X CVT-i 1.8 Black Interior for Sale,Kharian,2023,"15,000",Petrol,1800,Automatic,74.5lacs
Honda Civic 2015 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,Karachi,2015,"90,000",Petrol,1800,Automatic,35.25lacs
Suzuki Cultus 2005 for Sale,Multan,2005,2,Petrol,1000,Manual,7.45lacs
Honda Civic 2011 VTi Prosmatec 1.8 i-VTEC for Sale,Islamabad,2011,"88,000",Petrol,1800,Automatic,29.9lacs
Toyota Vitz 2004 RS 1.3 for Sale,Quetta,2004,"200,000",Petrol,1300,Automatic,20.5lacs
Toyota Corolla 2010 Altis SR Cruisetronic 1.8 for Sale,Islamabad,2010,"72,000",Petrol,1800,Automatic,34.9lacs
Daihatsu Cuore 2008 CX Ecomatic for Sale,Karachi,2008,"99,500",Petrol,800,Automatic,11.2lacs
Toyota Yaris 2022 ATIV X CVT 1.5 for Sale,Lahore,2022,"37,000",Petrol,1500,Automatic,48.75lacs
Peugeot 2008 2022 Active for Sale,Karachi,2022,"22,000",Petrol,1200,Automatic,56.5lacs
